doc_id,branch_id,left_node_id,right_node_id,sibling_a,sibling_b,parent_refinement_for_a,parent_refinement_for_b
4bc8cbac-8b1c-4033-bae3-212cb3c1ece0,4bc8cbac-8b1c-4033-bae3-212cb3c1ece0,87e8c434-c99c-4a8e-b494-b8ccc1f132e2,eb5cf10b-de6d-4c8b-8d21-ca3aa3314514,"{'contrast': ['Focuses on converting screen recordings into step-by-step SOPs automatically, emphasizing process documentation and operational efficiency.', 'Supports over 140 languages and integrates with popular video platforms like Loom, Zoom, and Teams.', 'Targets operations, quality management, training, manufacturing, IT, healthcare, customer service, sales, HR, and compliance teams.', 'Highlights rapid SOP generation, multilingual support, and ease of updating documentation via new recordings.'], 'contrast_tag': ['Process Documentation', 'Video to SOP', 'Operational Efficiency', 'Multilingual Support', 'Integration with Video Platforms', 'Targeted Industries', 'Rapid SOP Generation']}","{'contrast': ['Offers AI video creation software with multiple subscription plans ranging from free to enterprise levels.', 'Features include AI avatars, video minute limits, collaboration tools, and dedicated customer support.', 'Supports over 140 languages and 230+ AI avatars for scalable video production.', 'Targets businesses, marketing teams, learning and development professionals, video content creators, and enterprises.', 'Emphasizes pricing transparency, plan features, and enterprise solutions with tailored onboarding.'], 'contrast_tag': ['AI Video Creation', 'Subscription Plans', 'Pricing Tiers', 'AI Avatars', 'Collaboration Features', 'Customer Support', 'Targeted Audiences', 'Enterprise Solutions']}","{'parent_refine': ['Focus on AI-powered video analysis for SOP generation and process documentation.', 'Highlight integration with popular video platforms and multilingual support.', 'Emphasize operational efficiency and rapid documentation capabilities.'], 'parent_refine_tag': ['AI Video Analysis', 'SOP Generation', 'Integration', 'Multilingual Support', 'Operational Efficiency']}","{'parent_refine': ['Detail subscription plans and pricing tiers for AI video creation software.', 'Showcase AI avatars, collaboration features, and enterprise solutions.', 'Stress scalability and customer support for business users.'], 'parent_refine_tag': ['Subscription Plans', 'Pricing', 'AI Avatars', 'Collaboration', 'Enterprise Solutions']}"
31cc1c02-538f-4a10-9dd0-3d8c185d9f16,31cc1c02-538f-4a10-9dd0-3d8c185d9f16,19a9e289-2147-49b0-acf7-dac94ce7416f,e0da8463-9389-48ee-a818-4aa455119b87,"{'contrast': ['Focuses on deployment and operational setup of VaultBubbles on Fly.io with detailed steps and automation.', 'Emphasizes cloud infrastructure, CI/CD, secrets management, and browser extension publishing.', 'Targets developers, DevOps engineers, and product managers for deployment guidance.'], 'contrast_tag': ['Deployment focus', 'Operational setup', 'Developer and DevOps audience']}","{'contrast': ['Describes VaultBubbles as a personal knowledge management tool with AI-powered topic clustering and visualization.', 'Highlights features like Chrome extension capture, natural language querying, and API usage.', 'Targets end users, developers, administrators, and QA engineers for usage and development guidance.'], 'contrast_tag': ['Product and feature overview', 'User and developer guidance', 'Broader audience including end users']}","{'parent_refine': ['Deployment focus', 'Operational setup', 'Developer and DevOps audience'], 'parent_refine_tag': ['Deployment', 'Operations', 'Technical Audience']}","{'parent_refine': ['Product and feature overview', 'User and developer guidance', 'Broader audience including end users'], 'parent_refine_tag': ['Product Overview', 'User Guidance', 'Diverse Audience']}"
25a5d008-6902-497d-a528-7bbb9aa67b9f,25a5d008-6902-497d-a528-7bbb9aa67b9f,b61e0cb4-6fb7-4a3e-a91c-d91709496299,33aff4d2-9d89-4c9b-878d-e754d0d770a0,"{'contrast': ['Left payload emphasizes safety vents and hypoallergenic materials in mouth tape products, while right payload highlights design features like breathability and hydration openings.', 'Left payload includes celebrity endorsements and specific product names like Somnifix and Myotape; right payload mentions brands like Dream Recovery and Queen Tape.', 'Left payload focuses more on expert recommendations and consultation advice; right payload discusses clinical evidence and alternative nasal breathing aids.'], 'contrast_tag': ['Product Features', 'Brand Mentions', 'Expertise Focus']}","{'contrast': ['Right payload discusses clinical evidence and alternatives to mouth tape, which is less emphasized in left payload.', 'Right payload includes detailed health risks of mouth breathing and oral health impacts; left payload focuses more on sleep quality benefits.', 'Right payload mentions use in nasal CPAP therapy for sleep apnea; left payload cautions about mouth taping in serious sleep disorders.'], 'contrast_tag': ['Clinical Evidence', 'Health Risks', 'Sleep Apnea Context']}","{'parent_refine': ['Synthesis of mouth taping benefits, safety, and product features from SELF article'], 'parent_refine_tag': ['Mouth Taping Safety and Products']}","{'parent_refine': ['Integration of clinical evidence, health risks, and alternative aids from WIRED article'], 'parent_refine_tag': ['Clinical Evidence and Alternatives']}"
bce36161-5f02-465b-8de4-733a9b107177,bce36161-5f02-465b-8de4-733a9b107177,cf175ecb-b0d5-4e52-8939-01a8b0455266,49f67d1e-1527-44d8-a9a8-a06c68a2c074,"{'contrast': ['Government and utilities payment confirmation vs. e-commerce order confirmation', 'Payment made via credit card vs. payment made via PayPal', 'Property-related billing vs. consumer product purchase', 'Local government contact information vs. company customer support and policies', 'Payment confirmation email vs. online checkout page'], 'contrast_tag': ['Industry difference', 'Payment method difference', 'Document context difference', 'Support contact difference', 'Document type difference']}","{'contrast': ['E-commerce order confirmation vs. government payment confirmation', 'Payment made via PayPal vs. payment made via credit card', 'Consumer product purchase vs. property-related billing', 'Company customer support and policies vs. local government contact information', 'Online checkout page vs. payment confirmation email'], 'contrast_tag': ['Industry difference', 'Payment method difference', 'Document context difference', 'Support contact difference', 'Document type difference']}","{'parent_refine': ['Payment confirmation details', 'Government billing information', 'Property-related financial transactions'], 'parent_refine_tag': ['Payment', 'Government', 'Property']}","{'parent_refine': ['Order confirmation details', 'E-commerce purchase information', 'Shipping and billing details'], 'parent_refine_tag': ['Order', 'E-commerce', 'Shipping']}"
7414bc59-9356-48bb-ad7e-fdb194deba5b,7414bc59-9356-48bb-ad7e-fdb194deba5b,8ede9b5c-ce8d-4721-87f2-71660cc1ee76,60de59ff-0466-4b58-891c-2352eb9e7532,"{'contrast': ['Left payload focuses on listing ingredients for a cherry pie with a 9-inch double-crust butter pie crust, emphasizing precise measurements and basic preparation.', 'Right payload provides a detailed homemade cherry pie recipe with thick filling, including baking techniques, cherry preparation, and storage tips.'], 'contrast_tag': ['Ingredient list vs. detailed recipe', 'Basic preparation vs. advanced baking techniques']}","{'contrast': ['Right payload includes detailed baking instructions, temperature control, and tips for optimal texture and flavor.', 'Left payload centers on ingredient enumeration and simple guidance for home bakers.'], 'contrast_tag': ['Instructional depth', 'Ingredient-focused']}","{'parent_refine': ['Focus on ingredient details and basic preparation for cherry pie.'], 'parent_refine_tag': ['Ingredient list', 'Basic recipe']}","{'parent_refine': ['Emphasize detailed baking instructions, techniques, and tips for thick filling and optimal texture.'], 'parent_refine_tag': ['Detailed recipe', 'Baking techniques']}"
acdf0979-1094-4138-8973-9f40bc983e17,acdf0979-1094-4138-8973-9f40bc983e17,a8f2557a-1951-48eb-896c-2996d89360be,86afa436-f300-4721-a353-54d3ae3e5a14,"{'contrast': ['Focuses on a cozy 1-bedroom condo rental in Winter Park, Colorado, suitable for up to 2 guests, emphasizing local walkability and bus route access.', 'Emphasizes a hotel accommodation in Cape Town with heritage charm, multiple amenities, and a broader guest capacity including families.'], 'contrast_tag': ['Property Type', 'Location', 'Guest Capacity', 'Amenities', 'Transportation Access']}","{'contrast': ['Highlights a hotel with extensive facilities such as two swimming pools, spa, gym, and acclaimed restaurants.', 'Highlights a condo with a heated pool, hot tub, kitchen, washer/dryer, and proximity to local landmarks and grocery stores.'], 'contrast_tag': ['Amenities', 'Dining Options', 'Facilities', 'Local Attractions']}","{'parent_refine': ['Vacation rental listings', 'Winter Park accommodations', 'Cozy 1-bedroom properties'], 'parent_refine_tag': ['Accommodation Type', 'Location', 'Property Size']}","{'parent_refine': ['Hotel listings', 'Cape Town accommodations', 'Properties with heritage and modern amenities'], 'parent_refine_tag': ['Accommodation Type', 'Location', 'Amenities']}"
594fb56f-0afe-4539-b002-6ed1f2e1a6c3,594fb56f-0afe-4539-b002-6ed1f2e1a6c3,bdaf8d34-88eb-4c68-a84c-6ac62ef0f110,ce7b83da-c9ad-4ad9-b7fd-2baa8224bddc,"{'contrast': ['Focuses on non-electrical stimuli (buzz or beep) for dog attention.', 'Emphasizes mobile geofencing without static boundaries.', 'Highlights personal testing with Tile tracker for positive reinforcement.'], 'contrast_tag': ['Non-electrical stimuli', 'Mobile geofencing', 'Personal testing']}","{'contrast': ['Includes e-collar (electronic collar) use with adjustable stimulation levels.', 'Recommends professional training and cautions about misuse.', 'Suggests additional tools like longlines and whistle training.'], 'contrast_tag': ['E-collar use', 'Professional training', 'Additional training tools']}","{'parent_refine': ['Focus on non-electrical stimuli and mobile geofencing for off-leash dog control.', 'Emphasis on personal testing and positive reinforcement training.'], 'parent_refine_tag': ['Non-electrical stimuli', 'Mobile geofencing', 'Positive reinforcement']}","{'parent_refine': ['Inclusion of e-collar use with adjustable stimulation and professional training guidance.', 'Recommendations for additional training tools and safety considerations.'], 'parent_refine_tag': ['E-collar use', 'Professional training', 'Training tools']}"
3d2acd89-4de8-4e5c-8aec-7d3063361f6b,3d2acd89-4de8-4e5c-8aec-7d3063361f6b,18f0cedb-333b-400b-b3a2-66050aedd3bf,de21c2df-7177-4ce1-a0f2-01790b92e146,"{'contrast': ['Focuses on technical responsibilities and skills for a Data/ML Prototyping Consultant role involving prototype deployment, Dockerization, and browser extension development.', 'Emphasizes a fellowship program recruiting data experts for AI research and business communication projects with flexible, remote work arrangements.'], 'contrast_tag': ['Technical role description', 'Fellowship recruitment program']}","{'contrast': ['Describes a job/project role centered on hands-on technical implementation and system integration in data/ML prototyping.', 'Details a part-time fellowship opportunity for experienced data professionals contributing to LLM evaluation and business storytelling.'], 'contrast_tag': ['Technical project and deployment focus', 'AI fellowship and business communication focus']}","{'parent_refine': ['Data/ML prototyping and deployment', 'Technical skills and project responsibilities', 'Packaging and environment consistency'], 'parent_refine_tag': ['Technical role', 'Deployment', 'Docker']}","{'parent_refine': ['AI fellowship program details', 'Remote and flexible work', 'Eligibility and application process'], 'parent_refine_tag': ['Fellowship', 'Remote work', 'Recruitment']}"
d7742d6c-9b98-4982-9180-8d40b89fe799,d7742d6c-9b98-4982-9180-8d40b89fe799,d9428acb-f606-4a84-b4d4-d22cea09a431,ab311950-66d7-4b4b-a494-f520a9e57302,"{'contrast': ['Focuses on practical AI automation solutions tailored for small businesses, emphasizing marketing automation, AI agents, and productivity enhancement.', 'Offers a broad comparative analysis of top AI and ML consulting firms for SMBs, highlighting industry trends, firm credentials, and AI adoption challenges.'], 'contrast_tag': ['Practical AI automation services', 'Industry-wide AI consulting firm analysis']}","{'contrast': ['Emphasizes hands-on AI and automation service offerings with transparent pricing and specialized solutions.', 'Provides a strategic overview of AI consulting landscape with firm rankings, project experience, and technology adoption insights.'], 'contrast_tag': ['Service offerings and pricing details', 'Strategic consulting firm evaluation']}","{'parent_refine': ['Focus on practical AI automation services and solutions for small businesses.', 'Emphasize marketing automation, AI agents, and workflow integration.', 'Highlight transparent pricing and ROI maximization strategies.'], 'parent_refine_tag': ['Practical AI automation', 'Marketing automation', 'Pricing transparency']}","{'parent_refine': ['Provide strategic overview of top AI and ML consulting firms for SMBs.', 'Detail AI adoption challenges and agentic AI expertise importance.', 'Include firm credentials, technology trends, and pricing models.'], 'parent_refine_tag': ['AI consulting firm analysis', 'SMB AI adoption challenges', 'Firm credentials and pricing']}"
dc1a0d28-bb29-4b38-8626-21a023bffa67,dc1a0d28-bb29-4b38-8626-21a023bffa67,cc01d4b1-3430-4703-a8f2-d298ca660078,2d91e5e8-548a-4fb4-841d-93b50c94dc28,"{'contrast': [""Focuses more on the Trump administration's direct intentions to 'run' Venezuela and reclaim its oil industry."", ""Emphasizes Congressional Democrats' criticism of the Trump administration for lack of transparency."", ""Highlights the U.S. military quarantine on Venezuela's oil exports."", 'Details the death toll from the raid as at least 80 Venezuelans.', ""Mentions Venezuelan exiles in Colombia celebrating Maduro's capture.""], 'contrast_tag': ['US policy emphasis', 'Political criticism', 'Economic sanctions', 'Casualty details', 'Exile community response']}","{'contrast': [""Highlights Maduro's scheduled court appearance in New York and legal proceedings."", ""Emphasizes international community's calls for restraint and respect for sovereignty."", 'Notes Colombian border security measures due to instability fears.', 'Mentions opposition leader María Corina Machado receiving the Nobel Peace Prize.', 'Details support of Venezuelan military for interim President Delcy Rodríguez.'], 'contrast_tag': ['Legal proceedings', 'International reactions', 'Regional security', 'Opposition recognition', 'Military support']}","{'parent_refine': ['Focus on US military and political strategy in Venezuela', 'Emphasis on casualties and US domestic political response', 'Highlight economic sanctions and oil industry interests', 'Detail Venezuelan exile community reactions'], 'parent_refine_tag': ['US strategy', 'Casualties', 'Economic interests', 'Exile response']}","{'parent_refine': [""Focus on legal proceedings and Maduro's court appearance"", 'Emphasis on international and regional diplomatic reactions', 'Highlight opposition activities and regional security concerns', 'Detail Venezuelan military support for interim government'], 'parent_refine_tag': ['Legal proceedings', 'International diplomacy', 'Opposition and security', 'Military support']}"
ecee6fae-8a38-4728-98c2-67c9041a218e,ecee6fae-8a38-4728-98c2-67c9041a218e,d4008893-86cc-4ddd-b049-707548cf1363,56729489-b340-4abc-9150-b370d8d430a8,"{'contrast': ['Left payload emphasizes the legal code references and specific fee waivers for low-income residents, while right payload highlights behavioral expectations and reporting procedures.', 'Left payload includes details about commercial dog walker permits, which are not mentioned in right payload.', 'Right payload specifies annual tag expiration on December 31 and lost tag replacement online, not detailed in left payload.'], 'contrast_tag': ['Legal and fee details vs behavioral and procedural focus', 'Commercial permits inclusion', 'Tag expiration and replacement details']}","{'contrast': ['Right payload focuses on responsible dog management and community safety, whereas left payload stresses registration logistics and legal mandates.', 'Right payload includes city dog license requirement if applicable, absent in left payload.', 'Left payload provides more detailed fee structure including additional guardians and dogs, right payload generalizes fees by residency and household.'], 'contrast_tag': ['Community safety vs registration logistics', 'City dog license requirement', 'Fee structure detail level']}","{'parent_refine': ['Merge legal and fee details with behavioral and procedural information from sibling.', 'Incorporate commercial dog walker permit details from left child.'], 'parent_refine_tag': ['Legal and fee integration', 'Commercial permit inclusion']}","{'parent_refine': ['Add detailed registration logistics and legal mandates from left child.', 'Include annual tag expiration and lost tag replacement info from right child.'], 'parent_refine_tag': ['Registration and legal details', 'Tag expiration and replacement']}"
2427157e-63af-4323-8689-49cbc16cb68f,2427157e-63af-4323-8689-49cbc16cb68f,d5f57f42-043f-47f8-b997-9a4cf6b0f9e7,0e4ea986-034a-4d4c-974d-e00f37ff5966,"{'contrast': ['Focuses on adoption exclusively, emphasizing local shelters and rescues in North Carolina.', 'Provides detailed adoption fees and health care information for puppies.', 'Affiliated with Kinship Partners, Inc. and Mars Incorporated.'], 'contrast_tag': ['Adoption focus', 'Adoption fees and health care', 'Corporate affiliation']}","{'contrast': ['Includes both adoption and sale of dogs, with a broader geographic scope including USA.', 'Highlights breed information, breeder directories, and puppy search tools.', 'Emphasizes ethical breeding and reputable breeder identification.'], 'contrast_tag': ['Adoption and sale', 'Breed and breeder resources', 'Ethical breeding emphasis']}","{'parent_refine': ['Focus on local adoption resources and detailed adoption process information.', 'Emphasis on shelter and rescue organizations in North Carolina.'], 'parent_refine_tag': ['Local adoption', 'Shelters and rescues']}","{'parent_refine': ['Inclusion of broader puppy acquisition options including sales and breeder information.', 'Emphasis on breed education and ethical breeding practices.'], 'parent_refine_tag': ['Broader acquisition', 'Breed and breeder resources']}"
95964c45-e2a1-4aa7-973a-a4f9fa34f25a,95964c45-e2a1-4aa7-973a-a4f9fa34f25a,4243f363-260f-402b-92ef-5c9947429e62,2fae43e2-542c-4ac5-bd69-18d54d72c3cc,"{'contrast': ['Focuses on AI-powered digital picture frames and photo sharing features.', 'Emphasizes home and gifting life domains with technology integration.', 'Targets consumers interested in digital media and family photo sharing.'], 'contrast_tag': ['Digital Picture Frames', 'Home Technology', 'Family Sharing']}","{'contrast': ['Offers affordable eyewear with diverse lens technologies and styles.', 'Centers on healthcare, fashion, and sports life domains.', 'Targets consumers seeking eyewear solutions including prescription and specialty lenses.'], 'contrast_tag': ['Eyewear Retail', 'Healthcare and Fashion', 'Specialty Lenses']}","{'parent_refine': ['Merged knowledge payload synthesizing digital picture frame features and market positioning.'], 'parent_refine_tag': ['Digital Picture Frames', 'Consumer Electronics']}","{'parent_refine': ['Merged knowledge payload synthesizing eyewear product features and market positioning.'], 'parent_refine_tag': ['Eyewear', 'Retail']}"
